Time Slot,Distance(m),FreeSpacePathLossWithoutAntennas(dB),Power(dBm),PathGain(dB),TransmissionLoss(dB),PathLoss(dB),ExcessPathLoss(dB),Phase(deg),FreeSpacePathLoss(dB),MeanTimeOfArrival(sec)
1,679.961,95.1253,-114.909,-121.859,121.859,121.859,17.2769,34.0414,104.582,2.67E-06
2,679.595,95.1206,-113.161,-120.111,120.111,120.111,15.464,-70.3914,104.647,2.67E-06
3,679.245,95.1161,-116.688,-123.638,123.638,123.638,19.1991,-30.9853,104.439,2.68E-06
4,678.91,95.1118,-112.847,-119.797,119.797,119.797,15.6289,-178.03,104.168,2.67E-06
5,678.59,95.1077,-113.26,-120.21,120.21,120.21,16.3542,-34.2081,103.856,2.67E-06
6,678.286,95.1038,-107.604,-114.554,114.554,114.554,11.0541,63.71,103.5,2.62E-06
7,677.997,95.1001,-107.224,-114.174,114.174,114.174,11.0733,57.5303,103.101,2.61E-06
8,677.722,95.0966,-116.696,-123.647,123.647,123.647,20.8268,-0.355994,102.82,2.61E-06
9,677.462,95.0933,-111.298,-118.249,118.249,118.249,15.7176,159.43,102.531,2.61E-06
10,677.216,95.0901,-106.543,-113.494,113.494,113.494,11.2626,-2.03397,102.231,2.60E-06
11,676.984,95.0871,-108.87,-115.82,115.82,115.82,13.8957,176.081,101.924,2.60E-06
12,676.766,95.0843,-108.152,-115.102,115.102,115.102,13.4371,-57.5212,101.665,2.61E-06
13,676.563,95.0817,-106.074,-113.025,113.025,113.025,11.4146,40.8194,101.61,2.60E-06
14,676.372,95.0793,-105.31,-112.261,112.261,112.261,10.8131,113.416,101.448,2.60E-06
15,676.195,95.077,-104.672,-111.622,111.622,111.622,10.2988,156.937,101.324,2.61E-06
16,676.032,95.0749,-102.632,-109.583,109.583,109.583,8.34903,166.559,101.234,2.60E-06
17,675.881,95.073,-102.826,-109.776,109.776,109.776,8.60138,150.117,101.175,2.60E-06
18,675.744,95.0712,-103.043,-109.993,109.993,109.993,8.84721,94.5476,101.146,2.60E-06
19,675.618,95.0696,-102.136,-109.086,109.086,109.086,7.94019,4.93325,101.146,2.60E-06
20,675.506,95.0681,-100.481,-107.431,107.431,107.431,6.13424,-102.634,101.297,2.61E-06
21,675.405,95.0668,-99.3776,-106.328,106.328,106.328,4.75345,122.75,101.574,2.61E-06
22,675.316,95.0657,-99.2761,-106.226,106.226,106.226,4.35878,-26.6473,101.868,2.61E-06
23,675.24,95.0647,-99.8342,-106.785,106.785,106.785,4.60726,146.364,102.177,2.61E-06
24,675.175,95.0639,-99.7742,-106.725,106.725,106.725,4.22028,-76.0488,102.504,2.61E-06
25,675.121,95.0632,-98.5284,-105.479,105.479,105.479,2.62887,35.1205,102.85,2.61E-06
26,675.079,95.0626,-96.6931,-103.643,103.643,103.643,0.427493,130.133,103.216,2.62E-06
27,675.047,95.0622,-95.9386,-102.889,102.889,102.889,-0.580433,-154.206,103.469,2.62E-06
28,675.026,95.062,-95.2725,-102.223,102.223,102.223,-1.09222,-101.427,103.315,2.62E-06
29,675.016,95.0618,-95.3134,-102.264,102.264,102.264,-0.89538,-74.2439,103.159,2.62E-06
30,675.017,95.0618,-95.7358,-102.686,102.686,102.686,-0.140594,-73.374,102.827,2.62E-06
31,675.027,95.062,-95.4662,-102.417,102.417,102.417,-0.0316837,-99.0049,102.448,2.62E-06
32,675.048,95.0622,-95.2746,-102.225,102.225,102.225,0.139428,-140.553,102.086,2.62E-06
33,675.078,95.0626,-94.919,-101.869,101.869,101.869,0.131545,156.34,101.738,2.63E-06
34,675.118,95.0631,-94.964,-101.914,101.914,101.914,0.22502,79.6595,101.689,2.63E-06
35,675.167,95.0638,-95.2588,-102.209,102.209,102.209,0.37983,-24.3892,101.829,2.63E-06
36,675.226,95.0645,-95.17,-102.12,102.12,102.12,0.138631,-144.729,101.982,2.63E-06
37,675.293,95.0654,-96.7042,-103.655,103.655,103.655,1.50969,71.6935,102.145,2.65E-06
38,675.369,95.0664,-97.1662,-104.117,104.117,104.117,1.80009,-91.1448,102.316,2.64E-06
39,675.454,95.0675,-98.0907,-105.041,105.041,105.041,2.54434,90.2347,102.497,2.64E-06
40,675.547,95.0687,-98.4708,-105.421,105.421,105.421,3.04757,-109.755,102.374,2.64E-06
41,675.648,95.07,-98.0305,-104.981,104.981,104.981,3.77125,39.4571,101.21,2.65E-06
42,675.758,95.0714,-96.6896,-103.64,103.64,103.64,3.44776,173.706,100.192,2.65E-06
43,675.875,95.0729,-95.2223,-102.173,102.173,102.173,2.88087,-69.0933,99.2918,2.65E-06
44,675.999,95.0745,-94.0599,-101.01,101.01,101.01,2.52385,30.6213,98.4864,2.67E-06
45,676.131,95.0762,-92.9363,-99.8867,99.8867,99.8867,2.12825,118.236,97.7584,2.65E-06
46,676.27,95.078,-92.0365,-98.9869,98.9869,98.9869,1.89253,-161.998,97.0944,2.65E-06
47,676.416,95.0798,-91.8051,-98.7555,98.7555,98.7555,1.85971,-96.1669,96.8958,2.65E-06
48,676.569,95.0818,-92.2451,-99.1955,99.1955,99.1955,2.44319,-46.3036,96.7523,2.65E-06
49,676.728,95.0838,-93.0246,-99.975,99.975,99.975,3.36232,-8.3629,96.6127,2.65E-06
50,676.894,95.086,-93.158,-100.108,100.108,100.108,3.64273,16.902,96.4657,2.66E-06
51,677.066,95.0882,-93.7787,-100.729,100.729,100.729,4.41664,31.609,96.3124,2.66E-06
52,677.244,95.0905,-94.4747,-101.425,101.425,101.425,5.27111,38.2147,96.154,2.66E-06
53,677.427,95.0928,-94.3038,-101.254,101.254,101.254,4.90483,32.1653,96.3493,2.66E-06
54,677.616,95.0952,-94.6385,-101.589,101.589,101.589,4.85477,13.3428,96.7341,2.66E-06
55,677.811,95.0977,-95.069,-102.019,102.019,102.019,4.88864,-21.0012,97.1307,2.66E-06
56,678.01,95.1003,-95.9631,-102.913,102.913,102.913,5.3726,-67.0654,97.5408,2.67E-06
57,678.215,95.1029,-97.6359,-104.586,104.586,104.586,6.62046,-123.917,97.9658,2.67E-06
58,678.424,95.1056,-100.791,-107.742,107.742,107.742,9.33466,175.634,98.4071,2.67E-06
59,678.638,95.1083,-101.829,-108.779,108.779,108.779,10.0391,117.617,98.7399,2.67E-06
60,678.856,95.1111,-101.688,-108.638,108.638,108.638,9.74926,40.5983,98.8889,2.67E-06
61,679.079,95.114,-99.6486,-106.599,106.599,106.599,7.54982,-30.2807,99.0491,2.67E-06
62,679.306,95.1169,-99.5925,-106.543,106.543,106.543,7.32188,-141.786,99.221,2.64E-06
63,679.536,95.1198,-102.494,-109.444,109.444,109.444,10.0407,100.867,99.4036,2.64E-06
64,679.77,95.1228,-106.138,-113.088,113.088,113.088,13.4931,-22.2686,99.5954,2.64E-06
65,680.007,95.1258,-114.45,-121.4,121.4,121.4,21.6215,138.012,99.779,2.64E-06
66,680.247,95.1289,-108.837,-115.787,115.787,115.787,16.1328,-94.2696,99.6546,2.64E-06
67,680.49,95.132,-104.548,-111.498,111.498,111.498,11.9621,67.3539,99.536,2.64E-06
68,680.736,95.1352,-103.653,-110.603,110.603,110.603,11.1809,-86.178,99.4223,2.62E-06
69,680.985,95.1383,-101.626,-108.576,108.576,108.576,9.26412,103.785,99.3123,2.63E-06
70,681.235,95.1415,-102.59,-109.54,109.54,109.54,10.3349,-78.2721,99.2054,2.63E-06
71,681.488,95.1448,-103.556,-110.507,110.507,110.507,11.4053,75.1375,99.1016,2.63E-06
72,681.743,95.148,-101.637,-108.587,108.587,108.587,9.53633,-118.083,99.0511,2.63E-06
73,682,95.1513,-101.927,-108.878,108.878,108.878,9.84108,51.6818,99.0367,2.64E-06
74,682.258,95.1546,-103.087,-110.037,110.037,110.037,11.0158,-161.232,99.0211,2.63E-06
75,682.518,95.1579,-103.196,-110.146,110.146,110.146,11.1424,0.0929191,99.0036,2.64E-06
76,682.778,95.1612,-102.383,-109.334,109.334,109.334,10.3495,173.995,98.9843,2.64E-06
77,683.04,95.1645,-106.016,-112.966,112.966,112.966,14.0024,-31.4862,98.9638,2.64E-06
78,683.302,95.1679,-106.34,-113.29,113.29,113.29,14.3474,134.552,98.9427,2.65E-06
79,683.565,95.1712,-104.98,-111.93,111.93,111.93,12.9277,-57.1711,99.0028,2.64E-06
